"state","party","candidate","votes"
Alabama,Republican,Donald Trump,371735
Alaska,Republican,Ted Cruz,7973
Arizona,Republican,Donald Trump,249916
Arkansas,Democrat,Hillary Clinton,144580
California,Democrat,Hillary Clinton,1940580
Colorado,Democrat,Bernie Sanders,71928
Connecticut,Democrat,Hillary Clinton,170075
Delaware,Democrat,Hillary Clinton,55950
Florida,Democrat,Hillary Clinton,1097400
Georgia,Democrat,Hillary Clinton,543008
Hawaii,Democrat,Bernie Sanders,23531
Idaho,Republican,Ted Cruz,100942
Illinois,Democrat,Hillary Clinton,1012175
Indiana,Republican,Donald Trump,590460
Iowa,Democrat,Hillary Clinton,69733
Kansas,Republican,Ted Cruz,35207
Kentucky,Democrat,Hillary Clinton,212550
Louisiana,Democrat,Hillary Clinton,221615
Maine,Democrat,Bernie Sanders,2201
Maryland,Democrat,Hillary Clinton,533247
Massachusetts,Democrat,Hillary Clinton,603784
Michigan,Democrat,Bernie Sanders,595222
Mississippi,Republican,Donald Trump,191755
Missouri,Republican,Donald Trump,382093
Montana,Republican,Donald Trump,114056
Nebraska,Republican,Donald Trump,121287
Nevada,Republican,Donald Trump,34531
New Hampshire,Democrat,Bernie Sanders,151584
New Jersey,Democrat,Hillary Clinton,554237
New Mexico,Democrat,Hillary Clinton,110451
New York,Democrat,Hillary Clinton,1054083
North Carolina,Democrat,Hillary Clinton,616383
North Dakota,Democrat,Bernie Sanders,253
Ohio,Republican,John Kasich,956762
Oklahoma,Democrat,Bernie Sanders,174054
Oregon,Democrat,Bernie Sanders,320746
Pennsylvania,Democrat,Hillary Clinton,918689
Rhode Island,Democrat,Bernie Sanders,66720
South Carolina,Democrat,Hillary Clinton,271514
South Dakota,Republican,Donald Trump,44866
Tennessee,Republican,Donald Trump,332702
Texas,Republican,Ted Cruz,1239370
Utah,Republican,Ted Cruz,122567
Vermont,Democrat,Bernie Sanders,115863
Virginia,Democrat,Hillary Clinton,503358
Washington,Republican,Donald Trump,403003
West Virginia,Republican,Donald Trump,156245
Wisconsin,Democrat,Bernie Sanders,567936
Wyoming,Republican,Ted Cruz,644
